season,year,start_date,end_date,matches,league_matches,teams,venues,cities,missing_city
1,2008,2008-04-18,2008-06-01,58,55,8,9,8,0
2,2009,2009-04-18,2009-05-24,57,54,8,8,8,0
3,2010,2010-03-12,2010-04-25,60,56,8,12,11,0
4,2011,2011-04-08,2011-05-28,73,69,10,12,11,0
5,2012,2012-04-04,2012-05-27,74,70,9,12,12,0
6,2013,2013-04-03,2013-05-26,76,72,9,13,12,0
7,2014,2014-04-16,2014-06-01,60,56,8,13,10,13
8,2015,2015-04-08,2015-05-24,59,55,8,13,12,0
9,2016,2016-04-09,2016-05-29,60,56,8,11,11,0
10,2017,2017-04-05,2017-05-21,59,55,8,10,11,0
11,2018,2018-04-07,2018-05-27,60,56,8,10,10,0
12,2019,2019-03-23,2019-05-12,60,56,8,9,9,0
13,2020,2020-09-19,2020-11-10,60,56,8,3,1,38
14,2021,2021-04-09,2021-10-15,60,56,8,7,7,0
15,2022,2022-03-26,2022-05-29,74,70,10,6,5,0
16,2023,2023-03-31,2023-05-29,74,70,10,12,12,0
17,2024,2024-03-22,2024-05-26,71,67,10,13,13,0
18,2025,2025-03-22,2025-06-03,74,70,10,14,14,0
