season,venue,matches,cities
1,Dr DY Patil Sports Academy,4,1
1,Eden Gardens,7,1
1,Feroz Shah Kotla,6,1
1,M Chinnaswamy Stadium,7,1
1,"MA Chidambaram Stadium, Chepauk",7,1
1,"Punjab Cricket Association Stadium, Mohali",7,1
1,"Rajiv Gandhi International Stadium, Uppal",7,1
1,Sawai Mansingh Stadium,7,1
1,Wankhede Stadium,6,1
2,Buffalo Park,3,1
2,De Beers Diamond Oval,3,1
2,Kingsmead,15,1
2,New Wanderers Stadium,8,1
2,Newlands,7,1
2,OUTsurance Oval,2,1
2,St George's Park,7,1
2,SuperSport Park,12,1
3,Barabati Stadium,2,1
3,Brabourne Stadium,7,1
3,Dr DY Patil Sports Academy,6,1
3,Eden Gardens,7,1
3,Feroz Shah Kotla,7,1
3,Himachal Pradesh Cricket Association Stadium,2,1
3,M Chinnaswamy Stadium,7,1
3,"MA Chidambaram Stadium, Chepauk",7,1
3,"Punjab Cricket Association Stadium, Mohali",5,1
3,"Sardar Patel Stadium, Motera",4,1
3,Sawai Mansingh Stadium,3,1
3,"Vidarbha Cricket Association Stadium, Jamtha",3,1
4,Dr DY Patil Sports Academy,7,1
4,Eden Gardens,7,1
4,Feroz Shah Kotla,7,1
4,Himachal Pradesh Cricket Association Stadium,3,1
4,Holkar Cricket Stadium,2,1
4,M Chinnaswamy Stadium,6,1
4,"MA Chidambaram Stadium, Chepauk",9,1
4,Nehru Stadium,5,1
4,"Punjab Cricket Association Stadium, Mohali",4,1
4,"Rajiv Gandhi International Stadium, Uppal",7,1
4,Sawai Mansingh Stadium,7,1
4,Wankhede Stadium,9,1
5,Barabati Stadium,2,1
5,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,1
5,Eden Gardens,7,1
5,Feroz Shah Kotla,8,1
5,Himachal Pradesh Cricket Association Stadium,2,1
5,M Chinnaswamy Stadium,8,1
5,"MA Chidambaram Stadium, Chepauk",10,1
5,"Punjab Cricket Association Stadium, Mohali",6,1
5,"Rajiv Gandhi International Stadium, Uppal",4,1
5,Sawai Mansingh Stadium,8,1
5,Subrata Roy Sahara Stadium,9,1
5,Wankhede Stadium,8,1
6,Eden Gardens,8,1
6,Feroz Shah Kotla,8,1
6,Himachal Pradesh Cricket Association Stadium,2,1
6,JSCA International Stadium Complex,2,1
6,M Chinnaswamy Stadium,8,1
6,"MA Chidambaram Stadium, Chepauk",8,1
6,Maharashtra Cricket Association Stadium,1,1
6,"Punjab Cricket Association Stadium, Mohali",6,1
6,"Rajiv Gandhi International Stadium, Uppal",8,1
6,Sawai Mansingh Stadium,8,1
6,Shaheed Veer Narayan Singh International Stadium,2,1
6,Subrata Roy Sahara Stadium,7,1
6,Wankhede Stadium,8,1
7,Barabati Stadium,3,1
7,Brabourne Stadium,1,1
7,Dubai International Cricket Stadium,7,0
7,Eden Gardens,4,1
7,Feroz Shah Kotla,5,1
7,JSCA International Stadium Complex,4,1
7,M Chinnaswamy Stadium,6,1
7,"Punjab Cricket Association Stadium, Mohali",3,1
7,"Rajiv Gandhi International Stadium, Uppal",4,1
7,"Sardar Patel Stadium, Motera",4,1
7,Sharjah Cricket Stadium,6,0
7,Sheikh Zayed Stadium,7,1
7,Wankhede Stadium,6,1
8,Brabourne Stadium,3,1
8,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3,1
8,Eden Gardens,7,1
8,Feroz Shah Kotla,5,1
8,JSCA International Stadium Complex,1,1
8,M Chinnaswamy Stadium,7,1
8,"MA Chidambaram Stadium, Chepauk",7,1
8,Maharashtra Cricket Association Stadium,4,1
8,"Punjab Cricket Association Stadium, Mohali",4,1
8,"Rajiv Gandhi International Stadium, Uppal",4,1
8,"Sardar Patel Stadium, Motera",4,1
8,Shaheed Veer Narayan Singh International Stadium,2,1
8,Wankhede Stadium,8,1
9,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,6,1
9,Eden Gardens,7,1
9,Feroz Shah Kotla,7,1
9,Green Park,2,1
9,M Chinnaswamy Stadium,9,1
9,Maharashtra Cricket Association Stadium,4,1
9,"Punjab Cricket Association IS Bindra Stadium, Mohali",7,1
9,"Rajiv Gandhi International Stadium, Uppal",7,1
9,Saurashtra Cricket Association Stadium,5,1
9,Shaheed Veer Narayan Singh International Stadium,2,1
9,Wankhede Stadium,4,1
10,Eden Gardens,7,1
10,Feroz Shah Kotla,7,1
10,Green Park,2,1
10,Holkar Cricket Stadium,3,1
10,M Chinnaswamy Stadium,8,2
10,Maharashtra Cricket Association Stadium,7,1
10,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,1
10,"Rajiv Gandhi International Stadium, Uppal",8,1
10,Saurashtra Cricket Association Stadium,5,1
10,Wankhede Stadium,8,1
11,Arun Jaitley Stadium,7,1
11,Eden Gardens,9,1
11,Holkar Cricket Stadium,4,1
11,M Chinnaswamy Stadium,7,1
11,MA Chidambaram Stadium,1,1
11,Maharashtra Cricket Association Stadium,6,1
11,Punjab Cricket Association IS Bindra Stadium,3,1
11,Rajiv Gandhi International Stadium,7,1
11,Sawai Mansingh Stadium,7,1
11,Wankhede Stadium,9,1
12,Arun Jaitley Stadium,7,1
12,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,1
12,Eden Gardens,7,1
12,M Chinnaswamy Stadium,7,1
12,MA Chidambaram Stadium,8,1
12,Punjab Cricket Association IS Bindra Stadium,7,1
12,Rajiv Gandhi International Stadium,8,1
12,Sawai Mansingh Stadium,7,1
12,Wankhede Stadium,7,1
13,Dubai International Cricket Stadium,26,0
13,Sharjah Cricket Stadium,12,0
13,Sheikh Zayed Stadium,22,1
14,"Arun Jaitley Stadium, Delhi",4,1
14,Dubai International Cricket Stadium,13,1
14,"MA Chidambaram Stadium, Chepauk, Chennai",10,1
14,"Narendra Modi Stadium, Ahmedabad",5,1
14,Sharjah Cricket Stadium,10,1
14,"Wankhede Stadium, Mumbai",10,1
14,"Zayed Cricket Stadium, Abu Dhabi",8,1
15,Brabourne Stadium,16,1
15,"Dr DY Patil Sports Academy, Mumbai",20,2
15,"Eden Gardens, Kolkata",2,1
15,"Maharashtra Cricket Association Stadium, Pune",13,1
15,"Narendra Modi Stadium, Ahmedabad",2,1
15,"Wankhede Stadium, Mumbai",21,1
16,"Arun Jaitley Stadium, Delhi",7,1
16,"Barsapara Cricket Stadium, Guwahati",2,1
16,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,1
16,"Eden Gardens, Kolkata",7,1
16,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,1
16,"M Chinnaswamy Stadium, Bengaluru",7,1
16,"MA Chidambaram Stadium, Chepauk, Chennai",9,1
16,"Narendra Modi Stadium, Ahmedabad",9,1
16,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,1
16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,1
16,"Sawai Mansingh Stadium, Jaipur",5,1
16,"Wankhede Stadium, Mumbai",7,1
17,"Arun Jaitley Stadium, Delhi",5,1
17,"Barsapara Cricket Stadium, Guwahati",1,1
17,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",7,1
17,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,1
17,"Eden Gardens, Kolkata",7,1
